,constituency,2009,2010,2011,2012,2013
126,E14000656,242000,255000,250000,275000,283500
127,E14000657,175000,185000,183000,190000,199995
128,E14000658,115000,116000,112250,109950,113000
129,E14000659,174950,190000,189000,200000,205000
130,E14000660,175000,189000,176950,181500,192750
131,E14000661,110000,110000,110000,110000,114250
132,E14000662,130000,128000,124000,130500,132000
133,E14000663,106000,105000,102000,104000,112000
134,E14000664,195000,220000,200000,201750,222000
135,E14000665,199950,220000,229475,225000,225000
136,E14000666,137750,140000,131500,135000,137000
137,E14000667,120000,122500,123000,121000,120000
138,E14000668,107000,111000,110000,109999,108000
139,E14000669,100000,100000,96949,100500,100000
140,E14000670,150000,157750,152000,153000,160000
141,E14000671,123000,120000,118000,120000,120000
142,E14000672,127000,125000,120000,129000,130000
143,E14000673,275875,300000,315000,320000,344000
144,E14000674,338000,343000,355000,370000,417000
145,E14000675,236000,250000,250000,250000,285000
146,E14000676,250000,250000,280000,285000,284000
147,E14000677,82995,84000,79995,80000,79995
148,E14000678,212000,227500,227625,230000,230000
149,E14000679,195000,219000,220000,220000,230000
150,E14000680,246000,280000,275000,270000,276000
151,E14000681,250000,286327,267000,278000,295000
152,E14000682,185975,205000,203050,213000,217000
153,E14000683,140000,143000,136000,139000,137750
154,E14000684,169000,185000,175000,175000,175000
155,E14000685,175000,194000,194747,195750,205000
156,E14000686,181500,205000,182000,192500,195000
157,E14000687,200000,210000,210000,217000,230000
158,E14000688,140000,143000,139995,139000,142750
159,E14000689,164147,179475,166750,170000,175000
160,E14000690,210000,235000,235000,245000,250000
161,E14000691,220000,240000,234000,235000,249995
162,E14000692,270000,286500,305000,330000,335000
163,E14000693,250000,283000,280500,288250,300000
164,E14000694,285000,334997,337250,335000,350000
165,E14000695,111000,115000,112000,115000,116500
166,E14000696,170000,179000,173000,170000,182500
167,E14000697,350000,390000,385000,416500,430000
168,E14000698,170000,178500,175000,178000,182000
169,E14000699,187000,204000,201500,210000,210000
170,E14000700,185000,207245,207000,205000,215000
171,E14000701,205000,220000,217250,220000,236000
172,E14000702,170000,182500,179972,184995,189995
173,E14000703,350000,390000,375000,388200,437750
174,E14000704,170000,183725,177000,180000,180750
175,E14000705,164000,182750,173000,166875,170000
176,E14000706,165000,173975,155000,158250,165000
177,E14000707,135500,148250,139500,129950,142250
178,E14000708,135250,136997,136842,133000,134950
179,E14000709,115000,110000,105000,110000,117700
180,E14000710,124000,125000,124950,123000,125000
181,E14000711,142000,150000,149500,155500,159000
182,E14000712,137000,145000,137000,138000,145000
183,E14000713,150000,155000,152000,155000,160000
184,E14000714,145000,157000,148355,150000,151000
185,E14000715,168000,178000,180000,182000,189950
186,E14000716,95000,98500,93000,95000,95000
187,E14000717,132747,132500,127500,134000,135000
188,E14000718,250000,282500,283000,272500,325000
189,E14000719,250000,306975,297000,312250,320000
190,E14000720,250000,289950,305000,330000,365000
191,E14000721,290000,300000,315000,320000,390000
192,E14000722,127000,130000,127500,125000,130000
193,E14000723,105000,106625,103500,105000,105000
194,E14000724,165000,168500,159995,159750,161000
195,E14000725,116500,115000,113500,111000,121995
196,E14000726,350000,393000,390000,415000,453500
197,E14000727,420000,492000,500000,525000,590000
198,E14000728,149725,172750,163000,165000,164999
199,E14000729,164000,177000,178500,180000,185000
200,E14000730,182500,209500,207125,200000,210000
201,E14000731,278000,300000,299950,324000,340000
202,E14000732,240000,270000,272000,260000,300000
203,E14000733,104950,110000,105000,108000,116000
204,E14000734,170000,190000,185000,188997,189000
205,E14000735,155000,160000,160000,167500,170000
206,E14000736,170000,190000,183000,181000,196250
207,E14000737,210000,227000,220000,229000,241250
208,E14000738,151975,160000,155000,162500,167500
209,E14000739,193000,217000,212500,215000,230000
210,E14000740,112500,115500,108500,112499,117000
211,E14000741,250000,278250,293500,283000,297000
212,E14000742,290000,334000,325000,327000,345000
213,E14000743,161000,175000,165000,168000,167500
214,E14000744,220000,243000,249999,249995,250000
215,E14000745,250000,285500,280000,290750,309000
216,E14000746,190000,207500,199950,199950,214225
217,E14000747,108975,109950,118000,121500,120000
218,E14000748,148000,143500,150000,150000,148500
219,E14000749,242500,292500,292000,295500,300000
220,E14000750,375000,410000,430000,446000,515000
221,E14000751,215000,245000,242000,247500,250000
222,E14000752,310000,342500,350000,359975,400000
223,E14000753,230000,250000,255000,250000,281000
224,E14000754,105000,110000,103000,110000,110000
225,E14000755,215000,239725,235000,245000,249500
226,E14000756,110000,115000,117000,115000,111300
227,E14000757,169997,184995,179950,185000,190000
228,E14000758,86000,86000,86000,87000,89000
229,E14000759,240000,272250,265000,274000,272500
230,E14000760,205000,223000,245000,242000,250000
231,E14000761,120000,130000,130000,132750,134000
232,E14000762,165000,176250,170000,170000,173750
233,E14000763,305000,335000,369975,351000,415000
234,E14000764,380000,435000,420000,450000,527750
235,E14000765,120000,127000,110000,110000,115000
236,E14000766,142250,152000,146250,147000,141000
237,E14000767,215000,240000,230500,245000,247000
238,E14000768,669135,746060,780625,895000,990000
239,E14000769,131500,135000,128000,135000,135000
240,E14000770,250000,280000,280000,299500,315000
241,E14000771,82500,84000,85000,80000,85000
242,E14000772,96000,100000,95000,99975,106250
243,E14000773,85000,92500,88500,91000,91500
244,E14000774,164500,175000,175000,179500,178000
245,E14000775,105000,103000,100000,100000,100000
246,E14000776,122000,126500,125000,125000,125000
247,E14000777,95000,100000,97000,94995,92500
248,E14000778,112000,119600,120000,120000,123250
249,E14000779,174000,181000,176000,182250,187000
250,E14000780,164975,179995,169000,175000,179950
251,E14000781,105000,110000,105000,105000,107500
252,E14000782,125000,130000,131000,125000,125000
253,E14000783,129000,125000,128000,125000,130000
254,E14000784,109995,105000,105000,107250,110000
255,E14000785,103750,105000,100000,110000,109500
256,E14000786,215000,237000,240000,236000,245000
257,E14000787,209972,228250,232000,245000,253000
258,E14000788,215000,239000,237000,245000,259000
259,E14000789,224000,235000,243000,249500,265000
260,E14000790,222000,238000,245000,250000,265000
261,E14000791,167500,185000,170000,180000,180000
262,E14000792,120000,120000,120000,121250,123453
263,E14000793,135000,120000,124000,123500,124000
264,E14000794,80000,82000,75000,72000,74995
265,E14000795,121000,115000,119995,120000,120000
266,E14000796,99000,98900,99950,96000,99000
267,E14000797,142500,150000,148000,152000,155000
268,E14000798,135000,139475,131500,130000,135999
269,E14000799,184950,194975,197500,187500,189950
270,E14000800,151000,159475,157000,155000,163000
271,E14000801,145000,145000,148250,150000,153000
272,E14000802,170000,185000,173000,184000,175000
273,E14000803,280000,306000,317500,317500,320000
274,E14000804,175000,200000,190000,200000,205000
275,E14000805,115000,118000,114000,110000,118000
276,E14000806,203000,225000,228000,225000,225000
277,E14000807,121000,115000,128700,120000,123000
278,E14000808,110500,107877,110000,105450,107500
279,E14000809,181250,190000,190000,185000,190000
280,E14000810,109950,110000,105000,105000,110000
281,E14000811,207000,229000,229997,227500,233000
282,E14000812,195000,220000,201000,213000,217000
283,E14000813,195000,217975,210000,220000,225950
284,E14000814,152500,159950,150000,153750,156500
285,E14000815,207500,240000,230000,237500,240000
286,E14000816,159000,165000,160000,164000,167000
287,E14000817,220000,245000,237750,245000,250000
288,E14000818,175000,195000,189997,185000,190000
289,E14000819,98560,88000,89000,86500,86000
290,E14000820,135000,130000,125975,130000,134950
291,E14000821,161000,191500,175000,183000,186000
292,E14000822,160000,175000,175000,185000,186000
293,E14000823,210000,220000,222750,232000,250000
294,E14000824,325000,370000,367250,384000,392000
295,E14000825,127250,129000,121995,126500,129000
296,E14000826,130000,136000,130000,130000,131550
297,E14000827,200000,218500,215000,225000,223000
298,E14000828,240000,265000,267750,265000,265000
299,E14000829,150000,157000,155000,155000,160000
300,E14000830,225000,243000,247000,245000,249950
301,E14000831,129995,125000,113000,120000,124995
302,E14000832,142375,145000,130000,142000,136000
303,E14000833,143500,145000,145000,141000,149950
304,E14000834,125000,120000,123250,124950,125000
305,E14000835,175000,189725,182000,185000,190000
306,E14000836,118000,120000,110000,110000,115000
307,E14000837,190000,208250,195250,200000,210000
308,E14000838,175000,192000,185000,192500,191250
309,E14000839,210000,232000,210000,222000,227950
310,E14000840,105250,110000,95000,97500,103000
311,E14000841,193500,208000,205000,205000,214995
312,E14000842,130000,135000,137500,135000,137000
313,E14000843,142500,139995,142000,140000,145000
314,E14000844,260000,284250,295000,308000,315000
315,E14000845,205000,239950,230000,245000,240000
316,E14000846,183500,214000,200000,203500,205995
317,E14000847,200000,215000,212500,209000,210000
318,E14000848,170000,182500,173500,175000,185000
319,E14000849,159995,160000,158000,160000,163500
320,E14000850,210000,220000,215000,218000,225000
321,E14000851,149995,165000,152000,153500,158000
322,E14000852,158000,170000,166000,166000,173000
323,E14000853,118000,117000,110000,113995,118250
324,E14000854,135000,135000,130000,135000,133000
325,E14000855,153000,160000,150000,159950,161500
326,E14000856,105000,109972,99995,105000,104000
327,E14000857,205000,227250,220000,226000,224000
328,E14000858,135750,149500,143975,138050,158000
329,E14000859,150000,160000,155000,150000,157000
330,E14000860,199950,220000,225000,217000,215000
331,E14000861,128000,129000,130000,133000,135000
332,E14000862,120000,125000,125000,130000,133500
333,E14000863,135250,145000,138725,146000,150000
334,E14000864,144000,157500,150000,156000,159000
335,E14000865,105000,97500,98000,96375,92000
336,E14000866,85000,82000,75000,80000,84000
337,E14000867,124539,122500,119250,118500,125000
338,E14000868,125000,129000,129475,132500,135000
339,E14000869,209000,232000,235000,240000,249950
340,E14000870,107750,115000,110000,114250,116500
341,E14000871,104950,105000,97000,102000,105000
342,E14000872,247500,275000,280000,280000,290000
343,E14000873,225000,245000,245000,250000,250000
344,E14000874,240000,275000,264750,270000,285000
345,E14000875,85000,84000,83000,85000,85000
346,E14000876,134475,140000,132997,134950,135000
347,E14000877,166750,175500,164975,165000,170000
348,E14000878,122000,124995,122500,122500,125000
349,E14000879,125000,128000,130000,128000,132000
350,E14000880,140000,141000,135000,136500,139950
351,E14000881,196500,210000,210000,215000,221000
352,E14000882,300753,315000,308000,305000,325000
353,E14000883,150000,156000,152000,152000,160000
354,E14000884,140000,148000,145000,148250,147000
355,E14000885,97000,94914,94000,95000,92000
356,E14000886,150000,166500,162000,160000,165060
357,E14000887,335000,375000,390000,419975,460000
358,E14000888,192500,215000,207000,210500,220000
359,E14000889,196975,215000,215000,225000,233000
360,E14000890,186000,195000,185000,199950,200000
361,E14000891,110000,112500,109950,112750,115000
362,E14000892,148000,155000,147500,150000,156000
363,E14000893,242000,287000,265000,269000,285000
364,E14000894,147000,155000,155000,149500,157000
365,E14000895,174950,199950,187000,190000,190000
366,E14000896,420000,450000,478500,490000,543750
367,E14000897,105000,100000,95250,106500,110000
368,E14000898,155750,168000,160000,165000,172000
369,E14000899,159000,170000,170000,170000,175000
370,E14000900,198500,219000,217000,215000,228000
371,E14000901,237500,245000,249000,250000,250000
372,E14000902,114250,110000,110000,110000,111375
373,E14000903,129250,129000,127500,125000,130000
374,E14000904,100000,100000,97500,98000,110000
375,E14000905,143247,153000,148000,153000,162000
376,E14000906,302500,345000,370000,355625,387800
377,E14000907,270000,290000,300000,280000,312000
378,E14000908,185500,203000,195000,198000,206750
379,E14000909,172000,185000,180000,190000,186000
380,E14000910,249999,269995,262000,285000,287500
381,E14000911,115000,115000,108000,110000,108950
382,E14000912,210000,225000,225000,224950,220000
383,E14000913,140000,145000,145000,142250,140000
384,E14000914,109250,110000,100500,100000,105000
385,E14000915,119000,117500,110000,109475,109000
386,E14000916,165000,177000,167000,163500,167500
387,E14000917,165000,165000,165000,170000,169950
388,E14000918,249500,257000,272500,292500,287500
389,E14000919,126750,130000,125000,125000,125000
390,E14000920,105000,109000,104335,111000,112000
391,E14000921,92000,90000,90000,86000,90000
392,E14000922,198501,217500,210000,215000,219995
393,E14000923,115000,118000,110000,118500,120000
394,E14000924,120000,129995,129995,130000,125000
395,E14000925,145000,153000,153000,145000,148000
396,E14000926,162500,167000,165000,163000,166000
397,E14000927,150000,153000,150995,155000,160000
398,E14000928,176000,199250,190000,190000,184000
399,E14000929,147500,153000,147000,149375,148500
400,E14000930,175000,190000,191000,198250,210000
401,E14000931,182000,209950,195000,195000,202000
402,E14000932,180000,198500,190000,192000,192000
403,E14000933,157000,165000,165000,166000,170000
404,E14000934,220000,235000,250000,242125,249999
405,E14000935,142000,148000,142125,147500,146000
406,E14000936,182000,205000,202000,200000,203500
407,E14000937,190000,211997,208000,215000,225000
408,E14000938,165000,175000,170000,170000,175000
409,E14000939,132500,142000,134000,139000,140000
410,E14000940,150000,155000,156500,155000,160000
411,E14000941,170000,185000,175000,176995,182500
412,E14000942,187500,208000,202000,202000,210000
413,E14000943,148725,154500,150000,149995,155000
414,E14000944,108997,108147,99500,105000,110000
415,E14000945,168000,176000,170000,175000,171650
416,E14000946,175000,204995,192000,196500,195000
417,E14000947,142000,149950,147000,145000,155000
418,E14000948,158000,165000,157125,164997,166500
419,E14000949,160000,175000,168500,174950,180000
420,E14000950,167000,178000,173000,177925,179000
421,E14000951,287250,320000,320000,340000,353500
422,E14000952,142000,150000,142500,147725,154000
423,E14000953,285000,320000,322000,330000,335000
424,E14000954,163000,177500,170000,170000,175000
425,E14000955,148133,162950,160000,157500,160000
426,E14000956,150000,165000,158000,157000,155100
427,E14000957,175000,190000,188000,195000,199250
428,E14000958,148000,152000,142000,137000,140000
429,E14000959,230000,245000,250000,250000,265000
430,E14000960,285000,323250,317000,338000,335000
431,E14000961,170000,175000,168000,171000,167500
432,E14000962,115000,118000,107000,107500,115000
433,E14000963,110000,115000,107000,110000,109500
434,E14000964,187000,205000,196000,210000,210000
435,E14000965,149000,155000,153000,148500,155000
436,E14000966,132000,142250,138000,135000,136250
437,E14000967,120000,122750,115000,115570,120000
438,E14000968,165000,170000,170000,173000,177000
439,E14000969,132000,132750,129000,130000,134000
440,E14000970,106050,108000,99995,106500,109950
441,E14000971,144950,144995,139475,139995,142000
442,E14000972,79950,82000,78900,80000,80000
443,E14000973,87250,88000,87000,89000,92000
444,E14000974,103750,101500,97500,100000,103500
445,E14000975,160000,166000,160000,169000,164500
446,E14000976,140500,150000,140000,140000,142000
447,E14000977,215000,240000,239475,245000,249950
448,E14000978,270000,295000,290000,310000,335000
449,E14000979,139950,137000,145000,150000,153000
450,E14000980,175000,189975,180000,187000,190000
451,E14000981,180000,205000,201250,195000,205000
452,E14000982,115000,112750,110000,112500,111595
453,E14000983,239950,250000,250000,270000,279950
454,E14000984,216750,240000,247250,247000,255000
455,E14000985,199975,219950,205000,210000,215000
456,E14000986,146975,155000,140000,145000,147500
457,E14000987,218975,240000,235000,225000,238000
458,E14000988,171000,185750,175000,180000,180000
459,E14000989,125000,122500,125000,130000,130250
460,E14000990,168250,185000,180000,185000,193250
461,E14000991,249000,277500,250000,265000,270000
462,E14000992,150250,157250,152000,153625,158000
463,E14000993,170000,183000,184999,179000,180000
464,E14000994,175000,210000,192500,200000,212500
465,E14000995,156000,163000,165000,160000,167997
466,E14000996,184500,197500,190000,188500,190000
467,E14000997,240000,265000,265000,270000,273475
468,E14000998,310000,326750,342000,365000,410750
469,E14000999,152500,158000,155000,152000,155500
470,E14001000,175000,190000,179950,181000,180000
471,E14001001,205000,225000,211000,214750,225000
472,E14001002,219500,234475,240000,245000,262000
473,E14001003,201000,220000,219950,220000,215250
474,E14001004,230000,250000,243000,249995,250000
475,E14001005,325000,352000,370000,388250,420000
476,E14001006,157000,164950,158000,160000,163000
477,E14001007,225000,250000,247100,250000,274000
478,E14001008,305000,322500,340000,350000,400088
479,E14001009,130000,138000,125000,124999,124974
480,E14001010,110000,116000,115000,116250,115000
481,E14001011,108000,100000,96000,99500,105000
482,E14001012,120000,121000,109975,114750,118250
483,E14001013,196500,215000,222000,235000,250000
484,E14001014,107000,115000,109000,115000,112000
485,E14001015,215000,235750,235000,245000,247000
486,E14001016,114897,112000,109750,111000,113000
487,E14001017,125000,125000,123000,125000,125000
488,E14001018,157000,166000,166372,164995,169950
489,E14001019,175000,197500,191000,195000,208000
490,E14001020,99950,101500,102000,104500,108250
491,E14001021,208000,225975,223250,234950,245000
492,E14001022,132000,137500,135000,133812,138000
493,E14001023,233000,259497,242000,249995,250000
494,E14001024,155000,156500,155000,150000,150000
495,E14001025,129000,128750,129000,131000,134000
496,E14001026,170000,184000,177500,185000,181500
497,E14001027,212500,227000,235000,231500,245000
498,E14001028,100000,106000,105000,110000,115000
499,E14001029,117000,116000,115000,115500,120000
500,E14001030,101000,108000,102500,103000,100000
501,E14001031,211000,230000,235000,233500,235000
502,E14001032,205000,222500,215000,218000,230000
503,E14001033,155000,159000,157000,159472,159950
504,E14001034,150000,164000,158000,162000,165000
505,E14001035,194997,215000,214000,203750,210000
506,E14001036,440000,485000,520000,535000,617250
507,E14001037,198500,212000,201275,205000,206000
508,E14001038,155000,163500,160000,160000,165000
509,E14001039,113160,112500,110000,113995,115000
510,E14001040,325000,385000,390000,400000,465000
511,E14001041,260000,290000,288000,290000,315000
512,E14001042,290000,320000,327500,320000,339475
513,E14001043,152000,160000,154000,153083,158000
514,E14001044,165000,169000,170000,170000,168000
515,E14001045,175000,195000,190000,200000,210000
516,E14001046,210000,233000,236000,240500,245000
517,E14001047,238250,269950,250000,265000,271000
518,E14001048,250000,265000,269975,271000,278000
519,E14001049,105000,100000,103500,102750,105950
520,E14001050,95000,97500,95500,105000,105000
521,E14001051,139995,135000,140500,139747,145000
522,E14001052,152500,157500,158995,163000,163000
523,E14001053,123500,125000,120000,129995,130497
524,E14001054,120000,110000,118000,121500,120000
525,E14001055,183000,213285,200000,212500,210000
526,E14001056,205000,235000,220000,230000,248500
527,E14001057,165000,170000,165000,166500,165000
528,E14001058,145000,150000,145000,146000,150000
529,E14001059,137000,134000,129000,137500,142500
530,E14001060,160000,165000,162500,163125,165000
531,E14001061,150000,159995,160000,165000,167000
532,E14001062,183000,197500,190000,195000,200000
533,W07000041,149950,150000,140000,150000,144500
534,W07000042,145000,135000,140000,142000,130250
535,W07000043,129225,133000,132750,136950,141497
536,W07000044,135000,135000,130000,137500,130000
537,W07000045,105000,107000,104497,105000,99500
538,W07000046,147000,150000,145000,149000,150000
539,W07000047,140000,142000,134000,130000,135000
540,W07000048,110000,104000,100000,98750,99500
541,W07000049,90000,90000,91750,87000,94000
542,W07000050,154500,162000,159000,158000,165000
543,W07000051,172000,185000,177750,187725,192000
544,W07000052,62000,60520,60000,60000,62000
545,W07000053,110000,115000,115000,116500,116000
546,W07000054,168000,190000,190000,192000,184250
547,W07000055,120000,122500,124747,125000,131000
548,W07000056,126000,145000,138000,140000,139950
549,W07000057,130725,130250,125000,130000,130000
550,W07000058,148000,159950,148500,150000,153000
551,W07000059,140000,145000,143000,132200,137000
552,W07000060,115000,120000,118000,120000,120125
553,W07000061,147000,146000,142500,147750,145000
554,W07000062,125500,130000,130000,137750,129995
555,W07000063,145000,150000,140000,144475,150000
556,W07000064,165000,175000,167250,161500,162000
557,W07000065,155000,158000,148000,153000,140000
558,W07000066,160000,162000,157500,155000,158000
559,W07000067,130000,135000,135000,138000,130000
560,W07000068,160000,175000,160000,162000,169000
561,W07000069,102000,100000,103000,105000,101000
562,W07000070,80000,82000,78500,80000,75000
563,W07000071,80000,80000,80000,77000,82000
564,W07000072,72000,75000,71500,70000,72000
565,W07000073,135000,140000,136000,135000,145000
566,W07000074,100000,105000,107000,107000,114000
567,W07000075,118000,124995,118000,124995,122000
568,W07000076,120000,116000,115625,120000,125000
569,W07000077,95000,98000,104000,100000,99950
570,W07000078,155000,158750,153500,155000,165000
571,W07000079,167000,170000,168000,162000,166000
572,W07000080,131000,140000,140000,141000,146000
